,company,country,description,location,review,salary,star,title
11,Ahrefs,Singapore,"Experience with Elasticsearch or similar DB, and ability to conduct independent research utilising large unstructured data sets;...",Singapore,,,,Data Scientist (Big Data Analytics)
12,ResMed,Singapore,Scientist - Big Data Analytics. The Scientist- Big Data Analytics role takes fundamental responsibility for research and development of the big data analytics...,Singapore,61,,43.8,Scientist - Big Data Analytics
3,Singapore Power,Singapore,"Singapore Power is looking for data analysts, data scientists, data and machine learning engineers to design and develop solutions for different data problems....",Singapore,6,,51.0,Data Analyst/Data Scientist/Data and Machine Learning Engineer
